forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-05-11,2,14.7,79.9,34.7,100.0,Cloudy skies throughout the day with rain.,2020-05-10
2020-05-12,2,8.8,79.8,20.5,100.0,Cloudy skies throughout the day with early morning rain.,2020-05-11
2020-05-13,2,10.9,90.1,12.7,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-05-12
2020-05-14,2,11.9,86.3,19.9,100.0,Cloudy skies throughout the day with rain clearing later.,2020-05-13
2020-05-15,2,13.2,72.2,18.6,100.0,Cloudy skies throughout the day with rain clearing later.,2020-05-14
2020-05-16,2,15.4,65.4,20.8,0.0,Partly cloudy throughout the day.,2020-05-15
2020-05-17,2,16.8,50.0,31.4,0.0,Clear conditions throughout the day.,2020-05-16
2020-05-18,2,18.0,52.3,26.3,0.0,Clear conditions throughout the day.,2020-05-17
2020-05-19,2,20.1,50.6,34.6,0.0,Clear conditions throughout the day.,2020-05-18
2020-05-20,2,21.3,48.0,34.3,0.0,Clear conditions throughout the day.,2020-05-19
2020-05-21,2,21.6,56.3,17.9,0.0,Clear conditions throughout the day.,2020-05-20
2020-05-22,2,22.9,56.4,15.1,0.0,Cloudy skies throughout the day.,2020-05-21
2020-05-23,2,17.0,76.7,30.2,100.0,Cloudy skies throughout the day with rain.,2020-05-22
2020-05-24,2,14.7,67.9,28.6,100.0,Partly cloudy throughout the day with morning rain.,2020-05-23
2020-05-25,2,17.4,59.4,30.1,0.0,Clearing in the afternoon.,2020-05-24
2020-05-26,2,18.5,56.6,29.1,0.0,Clear conditions throughout the day.,2020-05-25
2020-05-27,2,18.7,51.6,15.3,0.0,Clear conditions throughout the day.,2020-05-26
2020-05-28,2,19.7,51.5,22.0,0.0,Clear conditions throughout the day.,2020-05-27
2020-05-29,2,19.3,49.0,21.8,0.0,Clear conditions throughout the day.,2020-05-28
2020-05-30,2,18.6,50.6,14.3,0.0,Clear conditions throughout the day.,2020-05-29
2020-05-31,2,19.3,51.1,15.3,0.0,Clear conditions throughout the day.,2020-05-30
2020-06-01,2,20.9,55.0,14.4,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-05-31
2020-06-02,2,22.3,55.0,17.1,100.0,Partly cloudy throughout the day with morning rain.,2020-06-01
2020-06-03,2,20.2,64.0,23.1,100.0,Partly cloudy throughout the day with rain.,2020-06-02
2020-06-04,2,17.2,79.8,20.1,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-06-03
2020-06-05,2,15.4,71.6,19.7,100.0,Cloudy skies throughout the day with rain clearing later.,2020-06-04
2020-06-06,2,18.8,64.3,20.3,100.0,Cloudy skies throughout the day with late afternoon rain.,2020-06-05
2020-06-07,2,15.4,69.7,18.4,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-06-06
2020-06-08,2,15.4,62.3,25.9,100.0,Cloudy skies throughout the day with rain.,2020-06-07
2020-06-09,2,12.6,86.1,18.4,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-06-08
2020-06-10,2,15.3,74.3,21.2,100.0,Cloudy skies throughout the day with rain.,2020-06-09
2020-06-11,2,17.3,66.6,20.2,100.0,Cloudy skies throughout the day with early morning rain.,2020-06-10
2020-06-12,2,16.7,78.7,18.5,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-06-11
2020-06-13,2,16.0,83.2,15.7,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-06-12
2020-06-14,2,18.0,69.6,18.2,100.0,Partly cloudy throughout the day with early morning rain.,2020-06-13
2020-06-15,2,18.9,63.4,20.0,0.0,Partly cloudy throughout the day.,2020-06-14
2020-06-16,2,18.7,63.3,18.9,0.0,Partly cloudy throughout the day.,2020-06-15
2020-06-17,2,17.2,70.3,22.6,100.0,Cloudy skies throughout the day with rain.,2020-06-16
2020-06-18,2,17.0,71.5,23.4,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-06-17
2020-06-19,2,18.0,68.8,14.5,100.0,Partly cloudy throughout the day with morning rain.,2020-06-18
2020-06-20,2,19.5,58.9,18.0,0.0,Partly cloudy throughout the day.,2020-06-19
2020-06-21,2,20.5,58.1,22.2,0.0,Partly cloudy throughout the day.,2020-06-20
2020-06-22,2,21.8,61.7,28.9,0.0,Partly cloudy throughout the day.,2020-06-21
2020-06-23,2,22.7,55.1,15.0,0.0,Clear conditions throughout the day.,2020-06-22
2020-06-24,2,25.9,54.6,15.6,0.0,Clear conditions throughout the day.,2020-06-23
2020-06-25,2,26.8,46.3,19.7,0.0,Partly cloudy throughout the day.,2020-06-24
2020-06-26,2,24.5,54.8,22.4,100.0,Partly cloudy throughout the day with rain in the morning and afternoon.,2020-06-25
2020-06-27,2,25.1,50.3,22.0,100.0,Partly cloudy throughout the day with rain.,2020-06-26
2020-06-28,2,23.3,70.1,19.6,100.0,Cloudy skies throughout the day with rain.,2020-06-27
2020-06-29,2,22.1,63.2,15.7,100.0,Partly cloudy throughout the day with morning rain.,2020-06-28
2020-06-30,2,22.0,52.5,14.0,0.0,Partly cloudy throughout the day.,2020-06-29
2020-07-01,2,23.3,65.4,17.8,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-06-30
2020-07-02,2,22.3,69.0,25.2,0.0,Partly cloudy throughout the day.,2020-07-01
2020-07-03,2,20.3,53.8,28.9,0.0,Partly cloudy throughout the day.,2020-07-02
2020-07-04,2,21.0,52.3,18.4,0.0,Partly cloudy throughout the day.,2020-07-03
2020-07-05,2,23.7,56.8,18.8,0.0,Partly cloudy throughout the day.,2020-07-04
2020-07-06,2,22.1,55.7,26.8,0.0,Partly cloudy throughout the day.,2020-07-05
2020-07-07,2,20.1,43.2,26.0,0.0,Clear conditions throughout the day.,2020-07-06
2020-07-08,2,22.1,45.4,14.4,0.0,Partly cloudy throughout the day.,2020-07-07
2020-07-09,2,25.8,44.8,10.2,0.0,Partly cloudy throughout the day.,2020-07-08
