datetime,temp,feels_like,temp_min,temp_max,humidity,wind_speed,rain_prob,description,city_name,city_country,date_extraction
2025-07-13 06:00:00,20.13,20.44,20.13,20.13,86,1.6,0.0,scattered clouds,Toulouse,FR,2025-07-12
2025-07-13 09:00:00,24.4,24.41,24.4,24.4,58,1.46,0.0,clear sky,Toulouse,FR,2025-07-12
2025-07-13 12:00:00,29.78,29.23,29.78,29.78,38,2.6,0.0,clear sky,Toulouse,FR,2025-07-12
2025-07-13 15:00:00,32.42,31.43,32.42,32.42,31,4.32,0.0,clear sky,Toulouse,FR,2025-07-12
2025-07-13 12:00:00,28.11,27.91,28.11,30.28,42,1.07,0.0,scattered clouds,Arrondissement de Lyon,FR,2025-07-13
2025-07-13 15:00:00,25.34,25.68,24.5,25.34,67,0.85,86.0,light rain,Arrondissement de Lyon,FR,2025-07-13
2025-07-13 18:00:00,25.45,25.64,25.45,25.45,61,0.4,48.0,broken clouds,Arrondissement de Lyon,FR,2025-07-13
2025-07-13 21:00:00,23.84,24.11,23.84,23.84,70,1.2,0.0,broken clouds,Arrondissement de Lyon,FR,2025-07-13
2025-07-14 00:00:00,20.04,20.29,20.04,20.04,84,1.55,66.0,light rain,Arrondissement de Lyon,FR,2025-07-13
2025-07-14 03:00:00,17.78,18.12,17.78,17.78,96,0.8,100.0,moderate rain,Arrondissement de Lyon,FR,2025-07-13
2025-07-14 06:00:00,18.66,19.04,18.66,18.66,94,0.78,100.0,light rain,Arrondissement de Lyon,FR,2025-07-13
2025-07-14 09:00:00,25.61,25.71,25.61,25.61,57,0.57,0.0,few clouds,Arrondissement de Lyon,FR,2025-07-13
2025-07-14 12:00:00,30.45,29.75,30.45,30.45,36,0.22,0.0,few clouds,Arrondissement de Lyon,FR,2025-07-13
2025-07-13 12:00:00,25.13,25.29,25.13,29.9,61,5.52,0.0,scattered clouds,Arrondissement de Marseille,FR,2025-07-13
2025-07-13 15:00:00,26.56,26.56,26.56,28.46,60,3.26,0.0,few clouds,Arrondissement de Marseille,FR,2025-07-13
2025-07-13 18:00:00,26.22,26.22,26.22,26.22,65,2.0,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-13 21:00:00,23.05,23.13,23.05,23.05,66,0.38,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-14 00:00:00,18.45,18.13,18.45,18.45,68,0.8,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-14 03:00:00,22.35,22.49,22.35,22.35,71,0.82,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-14 06:00:00,23.05,23.16,23.05,23.05,67,0.31,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-14 09:00:00,25.85,25.93,25.85,25.85,55,2.86,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-14 12:00:00,27.7,28.04,27.7,27.7,49,4.56,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-13
2025-07-13 12:00:00,17.05,16.27,17.05,18.52,56,3.14,0.0,broken clouds,Arrondissement de Nice,FR,2025-07-13
2025-07-13 15:00:00,17.61,16.84,17.61,18.26,54,3.42,11.0,broken clouds,Arrondissement de Nice,FR,2025-07-13
2025-07-13 18:00:00,15.67,15.09,15.67,15.67,69,2.22,9.0,scattered clouds,Arrondissement de Nice,FR,2025-07-13
2025-07-13 21:00:00,13.14,12.86,13.14,13.14,90,1.87,0.0,clear sky,Arrondissement de Nice,FR,2025-07-13
2025-07-14 00:00:00,12.61,12.17,12.61,12.61,86,1.91,0.0,clear sky,Arrondissement de Nice,FR,2025-07-13
2025-07-14 03:00:00,10.15,9.31,10.15,10.15,80,2.01,0.0,clear sky,Arrondissement de Nice,FR,2025-07-13
2025-07-14 06:00:00,13.51,12.69,13.51,13.51,68,0.5,0.0,clear sky,Arrondissement de Nice,FR,2025-07-13
2025-07-14 09:00:00,18.38,17.66,18.38,18.38,53,2.78,0.0,clear sky,Arrondissement de Nice,FR,2025-07-13
2025-07-14 12:00:00,20.91,20.36,20.91,20.91,50,4.58,0.0,clear sky,Arrondissement de Nice,FR,2025-07-13
2025-07-13 18:00:00,31.2,29.94,29.87,31.2,30,2.21,0.0,clear sky,Paris,FR,2025-07-13
2025-07-13 21:00:00,28.37,27.65,26.62,28.37,35,3.86,0.0,broken clouds,Paris,FR,2025-07-13
2025-07-14 00:00:00,22.44,22.05,22.44,22.44,50,4.28,0.0,overcast clouds,Paris,FR,2025-07-13
2025-07-14 03:00:00,18.07,17.89,18.07,18.07,75,4.06,42.0,light rain,Paris,FR,2025-07-13
